id,action,details,ip_address,timestamp,user_id,publication_id
11,moderation_approved,"{""old_status"": ""approved"", ""new_status"": ""approved"", ""comment"": """"}",,2026-05-15 11:36:26.442560,1,7667
12,moderation_approved,"{""old_status"": ""approved"", ""new_status"": ""approved"", ""comment"": """"}",,2026-05-15 11:36:32.151798,1,7667
13,moderation_approved,"{""old_status"": ""approved"", ""new_status"": ""approved"", ""comment"": """"}",,2026-05-15 11:36:35.169580,1,7665
14,moderation_approved,"{""old_status"": ""pending"", ""new_status"": ""approved"", ""comment"": ""\u041e\u0434\u043e\u0431\u0440\u0435\u043d\u043e""}",,2026-05-15 11:38:21.718955,1,7668
15,moderation_rejected,"{""old_status"": ""pending"", ""new_status"": ""rejected"", ""comment"": ""\u041d\u0435\u0434\u043e\u0441\u0442\u0430\u0442\u043e\u0447\u043d\u043e \u0434\u0430\u043d\u043d\u044b\u0445""}",,2026-05-15 11:40:21.102230,1,7669
16,moderation_approved,"{""old_status"": ""pending"", ""new_status"": ""approved"", ""comment"": """"}",,2026-05-15 11:40:33.983493,1,7670
17,moderation_approved,"{""old_status"": ""pending"", ""new_status"": ""approved"", ""comment"": """"}",,2026-05-15 11:42:24.214822,1,7671
18,moderation_approved,"{""old_status"": ""approved"", ""new_status"": ""approved"", ""comment"": """"}",,2026-05-15 11:44:47.795941,1,7665
19,moderation_approved,"{""old_status"": ""pending"", ""new_status"": ""approved"", ""comment"": """"}",,2026-05-15 11:44:54.909101,1,7672
20,create,"{""title"": ""\u043f\u0430\u0440\u043e\u043f\u043f""}",,2026-05-15 11:53:35.113049,1,7673
21,update,"{""title"": ""\u043f\u0430\u0440\u043e\u043f\u043f\u0435\u043d\u043d\u0435"", ""changed_fields"": [""title"", ""author"", ""head"", ""executors"", ""location"", ""event_name"", ""funding_source"", ""volume"", ""note"", ""students_names"", ""year"", ""students_count"", ""pages_count"", ""result"", ""department"", ""entry_month"", ""event_date"", ""circulation""]}",,2026-05-15 11:53:42.164430,1,7673
22,create,"{""title"": ""\u043f\u0440\u0440\u043f\u0430""}",,2026-05-15 11:54:45.579466,2,7674
23,soft_delete,"{""title"": ""\u043f\u0430\u0440\u043e\u043f\u043f\u0435\u043d\u043d\u0435""}",,2026-05-15 11:55:29.584983,1,7673
24,create,"{""title"": ""\u0422\u0435\u0441\u0442\u043e\u0432\u0430\u044f \u043f\u0443\u0431\u043b\u0438\u043a\u0430\u0446\u0438\u044f \u043e\u0442 \u041d\u0418\u041e""}",,2026-05-15 12:52:47.625648,3,7675
25,create,"{""title"": ""\u0422\u0435\u0441\u0442\u043e\u0432\u0430\u044f \u043f\u0443\u0431\u043b\u0438\u043a\u0430\u0446\u0438\u044f \u043e\u0442 \u041d\u0418\u041e""}",,2026-05-15 12:52:58.551169,3,7676
